NO_PRESTADOR;FANTASIA;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;TELEFONE1;TELEFONE2
CUIDAR DE SI PRESTACAO DE SERVICOS EM SAUDE LTDA;CUIDAR DE SI;572;RUA MIGUEL ALVES DINIZ;CENTRO;MATEUS LEME;MG;Belo Horizonte;GINECOLOGIA E OBSTETRICIA  / MASTOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CIRURGIA DO APARELHO DIGESTIVO / CLÍNICA MÉDICA / CIRURGIA VASCULAR / NEFROLOGIA  / PSICOLOGIA  / NEUROLOGIA  / DERMATOLOGIA   / NUTRICAO / ANESTESIOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / UROLOGIA  / CIRURGIA GERAL;35351769;
CURIOSAIDADE: ATENDIMENTO MULTIDISCIPLINAR PARA PESSOAS NEURODIVERGENT;ATENDIMENTO MULTIDISCIPLINAR PARA PESSOAS NEURODIV;40;RUA PADRE BITTENCOURT;CENTRO;SAO JOSE DOS PINHAIS;PR;Metropolitana;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;;
CV CENTRO MEDICO DIAGNOSTICO LTDA;ORTOTRAUMA BOA VISTA;38;JOSE COELHO;CENTRO;BOA VISTA;RR;Secretaria Estadual de Saúde;ORTOPEDIA E TRAUMATOLOGIA;;
D AURELIO DE B ABREU CLINICA PISCOLOGICA;ATIVAMENTE;98;RUA SERGIPE;JARDIM BRASÍLIA;SANTA INES;MA;Pindaré;PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA;;
D S B CHAVES;VITAL CLINICA DE FISIOTERPIA;852;RUA PADRE GEROSA;CENTRO;CAXIAS;MA;Timbiras;FISIOTERAPIA;;
DANIELA CHRISTINA CHAVES LIMA;CLINICA OUVIRFALAR TUDO;217;PADRE CUSTÓDIO;CENTRO;LIMOEIRO DO NORTE;CE;Limoeiro do Norte;FONOAUDIOLOGIA  / FISIOTERAPIA / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / PSICOLOGIA  / NUTRICAO;;
DANIELA HELENA SALAS GUTIERREZ;PSICOLOGIA SAUDE MENTAL E BEM ESTAR SALAS;221;RUA DOUTOR JOÃO SALUSTIANO;BONFIM;SAO JOAO DEL REI;MG;São João Del Rei;PSICOLOGIA;;
DANIELA LUIZA SILVA;ESPACO FISIO;430;TRES DE MAIO;CENTRO;PASSOS;MG;Passos;FISIOTERAPIA;35219144;
DANIELE APARECIDA SALAMANCA;CLINICA SPECIAL;390;LIONS INTERNACIONAL;VILA AURORA III;RONDONOPOLIS;MT;Rondonópolis;TERAPIA OCUPACIONAL / FISIOTERAPIA / PSICOLOGIA;;
DANIELE CERVANTES GIRARDI PANHAN;DANIELE CERVANTES GIRARDI PANHAN;3431;RUA PERNAMBUCO;VILA REDENTORA;SAO JOSE DO RIO PRETO;SP;São José do Rio Preto;NUTRICAO;;
DANIELLI P GUIMARAES LTDA;DANIELLI P GUIMARAES LTDA;1183;RUA JOÃO VICENTE FERREIRA;JARDIM AMÉRICA;DOURADOS;MS;NCT de Dourados;FONOAUDIOLOGIA;;
DANILO DAMATA MARINHO;CLINICA ALMA PSICOLOGIA NEUROPSICOLOGIA;205;RUA SÃO VICENTE DE PAULO;CENTRO;ARAUCARIA;PR;Metropolitana;PSICOLOGIA;;
DANILO NUNES DOS SANTOS CLINICA MEDICA;DANILO NUNES DOS SANTOS CLINICA MEDICA;402;MARECHAL FLORIANO PEIXOTO;;JACAREZINHO;PR;Jacarezinho;ORTOPEDIA E TRAUMATOLOGIA;;
DAPI DIAG AVANCADO EM PATOLOGIA E IMUNO HISTOQUIMICA;LABORATORIO DE PATOLOGIA E IMUNO HISTOQUIMICA DO C;638;RUA JOAQUIM FONSECA;SETOR MORADA DO SOL;RIO VERDE;GO;Sudoeste I;PATOLOGIA CLINICA / MEDICINA LABORATORIAL / PATOLOGIA;21414530;
DAVITA SERVICOS DE NEFROLOGIA PANTANAL;DAVITA PANTANAL;1675;RUA ANTÔNIO MARIA COELHO;CENTRO;CAMPO GRANDE;MS;NCT de Campo Grande;NEFROLOGIA;39527956;
DEBORA CAROLINE ZIELONKA DA SILVA;DEBORA CAROLINE ZIELONKA DA SILVA;580;RUA DOUTOR MARCELINO NOGUEIRA;CENTRO;SAO JOSE DOS PINHAIS;PR;Metropolitana;PEDIATRIA;;
DEBORAH ALINE ALVES MOREIRA;DEBORAH ALINE ALVES MOREIRA;72;RUA 6 A;SETOR AEROPORTO;GOIANIA;GO;Central;GINECOLOGIA E OBSTETRICIA;30939663;32233107
DEDIC SAUDE CONSULTORIA E CUIDADOS EM SAUDE LTDA;DEDIC SAUDE CONSULTORIA E CUIDADOS EM SAUDE;239;RUA JOSÉ AIRTON TEIXEIRA;CENTRO;ITAPIPOCA;CE;Itapipoca;CARDIOLOGIA  / NUTRICAO / FISIOTERAPIA / ORTOPEDIA E TRAUMATOLOGIA  / GINECOLOGIA E OBSTETRICIA  / PNEUMOLOGIA  / UROLOGIA  / FONOAUDIOLOGIA  / NEFROLOGIA  / CIRURGIA GERAL  / CLÍNICA MÉDICA / PSICOLOGIA;;
DENISE BONINI DA CRUZ;DENISE BONINI DA CRUZ;453;AVENIDA DOS ESTADOS;VILA MENDONÇA;ARACATUBA;SP;Araçatuba;FISIOTERAPIA;;
DERMATOLOGIA CLINICA E CIRURGIA WEISS;CLINICA DA PELE;60;RUA 1536;CENTRO;BALNEARIO CAMBORIU;SC;Balneário Camboriú;DERMATOLOGIA;;
DESENVOLVER TERAPIAS INTEGRADAS LTDA;DESENVOLVER TERAPIAS INTEGRADAS LTDA;3245;ESTRADA DE ALDEIA;TABATINGA;CAMARAGIBE;PE;Recife;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / TERAPIA OCUPACIONAL / FISIOTERAPIA / FONOAUDIOLOGIA  / PSICOLOGIA  / NUTRICAO;;
DESENVOLVIMENTO FALA E LINGUAGEM TALITA AVELINO LTDA;DESENVOLVIMENTO FALA E LINGUAGEM TALITA AVELINO;371;AVENIDA T 7;SETOR OESTE;GOIANIA;GO;Central;FONOAUDIOLOGIA  / PSICOLOGIA;;
DEX LAB CENTRO INTEGRADO DE MEDICINA;DEX LAB;2009;RUA COELHO RODRIGUES;CENTRO;TERESINA;PI;TD Entre Rios;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / DERMATOLOGIA   / MASTOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / GENETICA MÉDICA / ANGIOLOGIA;;
DEXA MEDICINA DIAGNOSTICA LTDA;DEXA MEDICINA DIAGNOSTICA;221;AVENIDA ANA COSTA;GONZAGA;SANTOS;SP;Baixada Santista;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;32237280;
DG DIAGNOSE SERVICOS MEDICOS EIRELI;DG DIAGNOSE SERVICOS MEDICOS EIRELI;105;RUA CÂNDIDO PORTINARI;JARDIM AMÉRICA;RIBEIRAO PRETO;SP;Ribeirão Preto;UROLOGIA;36108452;
DIAGNOCOR CLINICA MEDICA LTDA;CARDIOCLINICA EXAMES DO CORACAO;781;AVENIDA CHARLES SCHNNEIDER;BARRANCO;TAUBATE;SP;Taubaté;CARDIOLOGIA;36248969;
DIGESTIVE ASSISTENCIA MEDICA ADULTO PEDIATRICO LTDA;DIGESTIVE;796;DOUTOR ARNALDO BRANDAO;SAO FRANCISCO;BOA VISTA;RR;Secretaria Estadual de Saúde;PEDIATRIA;;
DIIMUNO CENTRO DE DOENCAS INFLAMATORIAS INTESTINAIS;DIIMUNO;700;AVENIDA CARLOS GOMES;BOA VISTA;PORTO ALEGRE;RS;CRS 01 Porto Alegre;GASTROENTEROLOGIA  / REUMATOLOGIA  / PSICOLOGIA  / DERMATOLOGIA   / COLOPROCTOLOGIA / NUTRICAO;33921212;32731212
DINIZ E DINIZ & CIA LTDA;CLINICA ISABELA;191;R MAJOR CAPITU;CENTRO;LAJEDO;PE;Garanhuns;FISIOTERAPIA / NUTRICAO / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / PSICOLOGIA;;
DINIZ E DINIZ CIA LTDA;DINIZ E DINIZ CIA LTDA;276;AVENIDA FREI CANECA;HELIÓPOLIS;GARANHUNS;PE;Garanhuns;FONOAUDIOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / NUTRICAO / TERAPIA OCUPACIONAL / PSICOLOGIA  / FISIOTERAPIA;;
DINIZ E MUNIZ SERVICOS MEDICOS LTDA;INSTITUTO MENTE E CORPO IMEC;0;AVENIDA JK;PEDRO SOBRINHO;CACHOEIRA ALTA;GO;Sudoeste I;CLÍNICA MÉDICA;;
DIOGO SANTOS BARBOSA;DIOGO SANTOS BARBOSA;3323;AVENIDA DOS ANDRADAS;SANTA EFIGENIA;BELO HORIZONTE;MG;Belo Horizonte;ENDOCRINOLOGIA E METABOLOGIA;32340490;
DIOGO TEIXEIRA;DIOGO TEIXEIRA;139;RUA REAL GRANDEZA;BOTAFOGO;RIO DE JANEIRO;RJ;Metropolitana I;PSICOLOGIA;;
DIS - DIAGNOSTICO POR IMAGEM DE SORRISO LTDA EPP;DIS - DIAGNOSTICO POR IMAGEM DE SORRISO LTDA EPP;1867;AV. DAS EMBAÚBAS;SETOR COMERCIAL;SINOP;MT;Sinop;CIRURGIA GERAL  / GASTROENTEROLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;35440210;
DIVERTIDAMENTE SETTING TERAPEUTICO LTDA;52 646 142 LTDA;31;RUA JOÃO PAULO II;GRUTA DE LOURDES;MACEIO;AL;Região 01;PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA;21409438;
DML LABORATORIO CLINICO AMBIENTAL E HOMECARE LTDA;HOMELAB ECOLAB;257;AV ALCIDES DE SOUZA CASTRO;FERREIRA;SANTO ANTONIO DE PADUA;RJ;Noroeste;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;
DNASE LABORATORIO DE ANALISES CLINICAS E BIOLOGIA MOLECULAR;LABORATORIO DNASE;1063;AVENIDA ONZE;CENTRO;ITUIUTABA;MG;Ituiutaba;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;32685090;
DO BEM SERVICOS MEDICOS;DO BEM SERVICOS MEDICOS;545;ANTONIO OLIMPIO DE MORAIS;CENTRO;DIVINOPOLIS;MG;Divinópolis;CIRURGIA DO APARELHO DIGESTIVO / CIRURGIA GERAL;;
DORNELES SERVICOS MEDICOS LTDA;DORNELES SERVICOS MEDICOS LTDA;455;DR ARISTOTELES DA ROSA;CENTRO;SAO MARCOS;RS;CRS 05 Caxias do Sul;PEDIATRIA;;
DOUGLAS UTZIG TERAPIA OCUPACIONAL LTDA;DOUGLAS UTZIG DESENVOLVIMENTO HUMANO;189;AVENIDA RIO BRANCO;CENTRO;SANTA ROSA;RS;CRS 14 Santa Rosa;TERAPIA OCUPACIONAL;;
DPF LABORATORIO DE ANALISES CLINICAS LTDA;PROANALISE LABORATORIO DE ANALISES CLINICAS;174;RUA CEL PEDRO PINTO DE SOUZA;CENTRO;ARATIBA;RS;CRS 11 Erechim;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;31620001;
DR THOME SERVICOS MEDICOS LTDA ME;DR THOME SERVICOS MEDICOS LTDA ME;443;RUA BARÃO DE COTEGIPE;CENTRO;RIO GRANDE;RS;CRS 03 Pelotas;OTORRINOLARINGOLOGIA;32320064;
DUARTE DIAGNOSTICOS LABORATORIO DE ANALISES CLINICAS LTDA;DUARTE ORENGO LABORATORIO DE ANALISES CLINICAS;107;RUA DEPUTADO NILTON KUCKER;SÃO DOMINGOS;NAVEGANTES;SC;Itajaí;GENETICA MÉDICA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;
DURAN E DANTAS LTDA;PEPITA DURAN CLINICA DE REABILITAÇÃO;324;RUA CARNEIRO VILELA;AFLITOS;RECIFE;PE;Recife;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FISIOTERAPIA / PSICOLOGIA  / MEDICINA FISICA E REABILITACAO  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;34260834;32218003
E E CARBONARO SAMPAIO LTDA;EVA CARBONARO NUTRICIONISTA;4303;AVENIDA ARAÇATUBA;JARDIM PAULISTA;ARIQUEMES;RO;Departamento de Epidemiologia;NUTRICAO;;
E R D CARDIOLOGIA E SAUDE LTDA;E R D CARDIOLOGIA E SAUDE;12;RUA SALVADOR PRESTES;CENTRO;ITANHAEM;SP;Baixada Santista;NUTRICAO / CARDIOLOGIA  / CLÍNICA MÉDICA;;
E T TERAPIA E INTERVENCAO COMPORTAMENTAL;E T TERAPIA E INTERVENCAO COMPORTAMENTAL;2047;RUA MINAS GERAIS;CENTRO;MEDIANEIRA;PR;Foz do Iguaçu;PSICOLOGIA;;
E V DERMATOLOGIA LTDA;CONSULTÓRIO MÉDICO;9;RUA DONA MARIANA;CENTRO;UBA;MG;Ubá;DERMATOLOGIA;35323596;
ECOMSEG CONSULTORIA MEDICINA E SEGURANCA;ECOMSEG;70;RUI BARBOSA;CENTRO;CAETITE;BA;Caetité;MEDICINA DO TRABALHO;;
EDA EXCELENCIA DIAGNOSTICA NO APARELHO DIGESTIVO;EDA EXCELENCIA DIAGNOSTICA NO APARELHO DIGESTIVO;700;AVENIDA DAS AMÉRICAS;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;Metropolitana I;GASTROENTEROLOGIA;;
EDNA MARIA NUNES CARNIEL;EDNA MARIA NUNES CARNIEL;1317;BRASIL;JARDIM BELA VISTA;FERNANDOPOLIS;SP;São José do Rio Preto;ACUPUNTURA  / GINECOLOGIA E OBSTETRICIA;34426222;
EDNEUSA BERNARDO DA SILVA OLIVEIRA;;271;PADRE ZEFERINO MARIA;CENTRO;SAPE;PB;I Núcleo Regional de Saúde;PSICOLOGIA;;
EDUARDA M RIGON LDTA;;1046;RUA ANTÔNIO ARAÚJO;CENTRO;PASSO FUNDO;RS;CRS 06 Passo Fundo;FONOAUDIOLOGIA;;
EFETIVAMENTE CENTRO DE ESPECIALIDADES INTEGRADAS;EFETIVAMENTE CENTRO DE ESPECIALIDADES INTEGRADAS;1262;AVENIDA VICTOR FERREIRA DO AMARAL;TARUMÃ;CURITIBA;PR;Metropolitana;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA;30000000;
ELAINE MAGALHAES SOARES;;370;RUA CONDE DE BONFIM;TIJUCA;RIO DE JANEIRO;RJ;Metropolitana I;PSICOLOGIA;;
ELAINE SULINO CAPONI;SAN PIO;374;RUA NICO DUARTE;JARDIM DO GINÁSIO;POCOS DE CALDAS;MG;Pouso Alegre;FISIOTERAPIA;37142282;
ELAYNE DA S ALVES GALINDO;AUDAZ - CLINICA INTEGRADA;83;RUA GENERAL DIONÍSIO CERQUEIRA PORTO;MAURÍCIO DE NASSAU;CARUARU;PE;Caruaru;MEDICINA DA FAMÍLIA E COMUNIDADE / NUTRICAO / PSICOLOGIA  / FISIOTERAPIA;;
ELEN OLIVEIRA BLANCO;;369;AVENIDA DOUTOR LAURO DORNELLES;CENTRO;ALEGRETE;RS;CRS 10 Alegrete;NUTRICAO;34225715;34262471
ELENI FATIMA CATTANI;ELENI FATIMA CATTANI;200;DR OTAVIO ROCHA;CENTRO;GUAIBA;RS;CRS 02 Porto Alegre;PSICOLOGIA;34020337;
ELESSANDRA CRISTINA REIS FERREIRA;ELESSANDRA CRISTINA REIS FERREIRA;99;RUA CORONEL CARLOS BRANDÃO;CENTRO;UBA;MG;Ubá;PSICOLOGIA;;
ELO ESPACO DE TERAPIAS INTEGRADAS LTDA;ELO ESPACO DE TERAPIAS INTEGRADAS;1165;RUA MELVIN JONES;VILA PROGRESSO;DOURADOS;MS;NCT de Dourados;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA;30324846;
ELOANA FONOAUDIOLOGIA LTDA;ELOANA FONOAUDIOLOGIA;0;ARSO 42 AVENIDA LO 11;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;FONOAUDIOLOGIA;;
ELOISA MOSTACHIO MAGRETTI;ELOISA MOSTACHIO MAGRETTI;83;AVENIDA MATO GROSSO;PARQUE RESIDENCIAL IPÊ;PENAPOLIS;SP;Araçatuba;PSICOLOGIA;36522012;
EMANOELLY GOMES DOS SANTOS RODRIGUES;ABRACE;348;RUA PORTO REAL DO COLÉGIO;JARDIM DE MARIA;ARAPIRACA;AL;Região 04;FISIOTERAPIA / PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL;;
EMANUEL LEITE FARIA LTDA;PSICOLOGO EMANUEL LEITE FARIA;65;RUA CARLOS DALL'AGNOLO;TOCANTINS;TOLEDO;PR;Toledo;PSICOLOGIA;;
EMPRESA METROPOLITANA DE FISIOTERAPIA LTDA;EMPRESA METROPOLITANA DE FISIOTERAPIA;560;RUA JURACY MAGALHÃES;PONTO CENTRAL;FEIRA DE SANTANA;BA;Feira de Santana;FISIOTERAPIA;30210040;
ENDOCLINICA LTDA;ENDOCLINICA;185;RUA CORONEL JOÃO NOTINI;CENTRO;DIVINOPOLIS;MG;Divinópolis;ENDOCRINOLOGIA E METABOLOGIA;32295400;
ENDOCOPA CENTRO DE ENDOSCOPIA DIGESTIVA E DAY CLINIC;2071943;817;AVENIDA NOSSA SENHORA DE COPACABANA;COPACABANA;RIO DE JANEIRO;RJ;Metropolitana I;GASTROENTEROLOGIA;31954200;
ENDOCRINOLOGIA CLINICA LTDA;ENDOCLIN;2655;RUA PADRE JOÃO CRIPPA;MONTE CASTELO;CAMPO GRANDE;MS;NCT de Campo Grande;ENDOCRINOLOGIA E METABOLOGIA;33255749;
ENDOCRINOLOGIA PEDIATRICA DO CEARA MEDICOS ASSOCIADOS S/S LTDA;ENDOPED CEARA;712;RUA PEDRO FIRMEZA;CIDADE DOS FUNCIONÁRIOS;FORTALEZA;CE;Fortaleza;ENDOCRINOLOGIA E METABOLOGIA;;
ENDOCRINOLOGIA PEDIATRICA DO CEARA MEDICOS ASSOCIADOS S/S LTDA;ENDOPED CEARA;1200;AVENIDA DOM LUÍS;MEIRELES;FORTALEZA;CE;Fortaleza;ENDOCRINOLOGIA E METABOLOGIA;;
ENDOCRINOLOGIA PEDIATRICA DO CEARA MEDICOS ASSOCIADOS S/S LTDA;ENDOPED CEARA;1233;AVENIDA DOM LUÍS;MEIRELES;FORTALEZA;CE;Fortaleza;ENDOCRINOLOGIA E METABOLOGIA;;
ENDOCRINOLOGIA PEDIATRICA DO CEARA MEDICOS ASSOCIADOS S/S LTDA;ENDOPED CEARA;5753;AVENIDA SANTOS DUMONT;PAPICU;FORTALEZA;CE;Fortaleza;ENDOCRINOLOGIA E METABOLOGIA;;
ENDOGASTRO VARGINHA LTDA;ENDOGASTRO VARGINHA;132;RUA DONA ZICA;VILA PINTO;VARGINHA;MG;Varginha;GASTROENTEROLOGIA  / COLOPROCTOLOGIA;32221255;
ENDOMEDINA CLINICA DE ENDOSCOPIA DIGESTIVA;ENDOMEDINA;324;RUA ARQUIAS CORDEIRO;MÉIER;RIO DE JANEIRO;RJ;Metropolitana I;GASTROENTEROLOGIA;;
ENDOVASCULAR DF SERVICOS EM SAUDE LTDA;ENDOVASCULAR DF SERVICOS EM SAUDE;714;SEPS 714/914;ASA SUL;BRASILIA;DF;Distrito Federal;ANGIOLOGIA / CIRURGIA VASCULAR;32134304;
EQUILIBRIO CENTRO DE TRATAMENTO DE FATORES DE RISCO S/C;;191;RUA DONA COTA;VILA PINTO;VARGINHA;MG;Varginha;FISIOTERAPIA;32211881;
EQUILIBRIO CLINICA MEDICA LTDA ME;CRIOX E CICATRICLIN;235;RUA ANTÔNIO DE LUCCA;PIO CORRÊA;CRICIUMA;SC;Criciúma;ANESTESIOLOGIA;34376401;
EQUIPE TEA LTDA;EQUIPE TEA;57; DOS TIMBIRAS;BEIROL;MACAPA;AP;I Regional de Saúde;FISIOTERAPIA / PSICOLOGIA  / FONOAUDIOLOGIA  / NUTRICAO / TERAPIA OCUPACIONAL / GINECOLOGIA E OBSTETRICIA;33885121;
ERMELINDO MATINATTI;;;;;;;;ORTOPEDIA E TRAUMATOLOGIA;;
ESPACO CAMINHAR DE DESENVOLVIMENTO INFANTIL LTDA;ESPACO CAMINHAR;20;RUA LÁPIS LAZÚLI;NOSSA SENHORA DAS GRAÇAS;MANAUS;AM;Entorno de Manaus;PSICOLOGIA  / FISIOTERAPIA / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS;;
ESPACO CONSEGUIR PSICOLOGIA LTDA;ESPACO CONSEGUIR PSICOLOGIA LTDA;1208;RUA COPAÍBA;NORTE (ÁGUAS CLARAS);BRASILIA;DF;Distrito Federal;PSIQUIATRIA;;
ESPACO CUIDAR LTDA;;250;RUA FRANCISCO ALVES DE ARAÚJO;JUNCO;SOBRAL;CE;Sobral;TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA  / FISIOTERAPIA / PSICOLOGIA;;
ESPACO DE TERAPIAS INTEGRADAS JORDANA ALHADEFF;ESPACO DE TERAPIAS INTEGRADAS JORDANA ALHADEFF;1392;AVENIDA PARANAPUAM;TAUÁ;RIO DE JANEIRO;RJ;Metropolitana I;FONOAUDIOLOGIA  / PSICOLOGIA  / NUTRICAO;36868088;
ESPACO ENCANTAR LTDA;ESPACO ENCANTAR LTDA;1692;AVENIDA LEOPOLDINO DE OLIVEIRA;CENTRO;UBERABA;MG;Uberaba;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA;33330373;
ESPACO EVOLUCAO CLINICA E TERAPIAS INTEGRADAS LTDA;ESPACO EVOLUCAO;118;RUA CONDE D'EU;SANTO AMARO;RECIFE;PE;Recife;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA  / FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL;32325557;
ESPACO EVOLUCAO LTDA - ME;ESPAÇO EVOLUÇÃO;70;DOM PEDRO HENRIQUE;SANTO AMARO;RECIFE;PE;Recife;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;31325557;
ESPACO INTEGRADO ATIVARMENTE LTDA;ESPACO INTEGRADO ATIVARMENTE;237;AV BELO HORIZONTE;FILOMENA;NOVA VENECIA;ES;SR Colatina;NUTRICAO / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA;;
ESPACO INTEGRAMENTE LTDA;ESPACO INTEGRAMENTE;2921;RUA PADRE JOÃO CRIPPA;MONTE CASTELO;CAMPO GRANDE;MS;NCT de Campo Grande;TERAPIA OCUPACIONAL / PSICOLOGIA;;
ESPACO INTEGRAR LTDA;ESPACO INTEGRAR LTDA;995;RUA CIRO MELO;JARDIM CENTRAL;DOURADOS;MS;NCT de Dourados;FONOAUDIOLOGIA  / PSICOLOGIA;;
ESPACO MATERNAR PSICOLOGIA E TERAPIA OCUPACIONAL LTDA;ESPACO MATERNAR;239;RUA DA PACIÊNCIA;RIO VERMELHO;SALVADOR;BA;Salvador;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA  / FISIOTERAPIA;35614388;
ESPACO MULTIDISCIPLINAR GIRASSOL LTDA;ESPACO MULTIDISCIPLINAR GIRASSOL;438;RUA DIAS DA CRUZ;MÉIER;RIO DE JANEIRO;RJ;Metropolitana I;NUTRICAO / FONOAUDIOLOGIA  / PSICOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA;;
ESPACO OFTALMOLOGIA LTDA;ESPACO OFTALMOLOGIA;51;RUA BENEDITO OSVALDO LECQUES;PARQUE RESIDENCIAL AQUARIUS;SAO JOSE DOS CAMPOS;SP;Taubaté;OFTALMOLOGIA;39399808;
ESPACO RECRIAR CENTRO DE TERAPIAS LTDA;ESPACO RECRIAR;188;AVENIDA NOSSA SENHORA DA SAÚDE;IPUTINGA;RECIFE;PE;Recife;PSICOLOGIA  / FISIOTERAPIA / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / NUTRICAO;33141129;
ESPACO RECRIAR LTDA;ESPACO RECRIAR;198;RUA CLOTÁRIO AGUIAR ARAÚJO;CAMPO DOS VELHOS;SOBRAL;CE;Sobral;FONOAUDIOLOGIA  / NUTRICAO / PSICOLOGIA  / TERAPIA OCUPACIONAL;;
ESPACO RECRIAR LTDA;ESPACO RECRIAR LTDA;75;AVENIDA DOUTOR AIRTON MENDONÇA TELES;CENTRO;ITABAIANA;SE;Região Itabaiana;NUTRICAO / PSICOLOGIA  / FONOAUDIOLOGIA;;
ESPACO S F REABILITAR LTDA;ESPACO REABILITAR;60;RUA DA APARECIDA;CENTRO;GUAXUPE;MG;Alfenas;FISIOTERAPIA;;
ESPACO SAUDE DO CORPO PILATES FISIOTERAPIA LTDA;ESPACO SAUDE DO CORPO PILATES FISIOTERAPIA;1138;RUA CORONEL MANOEL BANDEIRA;CENTRO;IMPERATRIZ;MA;Tocantins;FISIOTERAPIA;;
ESPACO TERAPEUTICO INTEGRADO LTDA;ESPACO RECRIARE;925;AVENIDA SENADOR RUY CARNEIRO;BRISAMAR;JOAO PESSOA;PB;I Núcleo Regional de Saúde;FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / NUTRICAO;;
ESPACO TERAPEUTICO NEUROSABER LTDA;ESPACO TERAPEUTICO NEUROSABER;2500;AVENIDA BARÃO DO RIO BRANCO;NOVA OLINDA;CASTANHAL;PA;Rio Guamá;FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;
ESPACO TRANSFORMAR TERAPIAS INTEGRATIVAS LTDA;ESPACO TRANSFORMAR TERAPIAS INTEGRATIVAS LTDA;249;PRAÇA DOZE DE MARÇO;BAIRRO NOVO;OLINDA;PE;Recife;PSICOLOGIA  / NUTRICAO / FISIOTERAPIA / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;
ESPACO TRILHAR LTDA;ESPACO TRILHAR;321;RUA ALAN KARDEC;SANTA ESMERALDA;ARAPIRACA;AL;Região 04;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA;;
ESSENCIAL SAUDE LTDA;ESSENCIAL SAUDE;207;RUA TEÓFILO OTONI;CENTRO;PATOS DE MINAS;MG;Patos de Minas;FISIOTERAPIA / NUTRICAO / PSICOLOGIA;;
ESTIMULAR MAIS PSICOLOGIA E SAUDE LTDA;ESTIMULAR MAIS;1563;TRAVESSA PROFESSOR JONES;ARAÇÁ;LINHARES;ES;SR Colatina;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA  / NUTRICAO;;
